year,ISSUE_DATE,PERMIT_SUBTYPE_NAME,DESC_OF_WORK,FULL_ADDRESS,street,zip,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
2009,"2009/06/26 04:00:00+00",ADDITION,"Flash Mount 12 solar panels to the roof per attached Plans","4426 ELLICOTT ST NW, WASHINGTON, DC 20016","4426 ELLICOTT ST NW",20016,38.953069,-77.087349,1,rooftop,"4426 Ellicott St NW",,"Washington, DC 20016",4426,"Ellicott St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/05/27 04:00:00+00","ADDITION ALTERATION REPAIR","INSTALL TWELVE (12) SANYO 200W PHOTOVOLTACIC PANELS ON THE ROOF.","3834 LEGATION ST NW, WASHINGTON, DC 20015","3834 LEGATION ST NW",20015,38.961887,-77.076176,1,rooftop,"3834 Legation St NW",,"Washington, DC 20015",3834,"Legation St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
2009,"2009/12/16 05:00:00+00","ALTERATION AND REPAIR","INSTALL (18) SOLAR PANELS ON THE EXISTING ROOF OF AN EXISTING SFD.","1709 LAMONT ST NW, WASHINGTON, DC 20010","1709 LAMONT ST NW",20010,38.931646,-77.039314,1,rooftop,"1709 Lamont St NW",,"Washington, DC 20010",1709,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/12/16 05:00:00+00","ALTERATION AND REPAIR","INSTALL (16) SOLAR PANELS ON ROOF OF SFD.","1832 LAMONT ST NW, WASHINGTON, DC 20010","1832 LAMONT ST NW",20010,38.931242,-77.042877,1,rooftop,"1832 Lamont St NW",,"Washington, DC 20010",1832,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/12/18 05:00:00+00","ALTERATION AND REPAIR","INSTALL (12) SOLAR PANELS FLUSH MOUNTED TO EXISTING ROOF OF SFD","5842 SHERIER PL NW, WASHINGTON, DC 20016","5842 SHERIER PL NW",20016,38.935241,-77.113175,1,rooftop,"5842 Sherier Pl NW",,"Washington, DC 20016",5842,"Sherier Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/03/10 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.28 KW SOLAR ARRAY. (12) EVERGREEN 190'S APPROXIMATELY 10"" HIGH OFF THE EXISTING sfd ROOF.","2506 CLIFFBOURNE PL NW, WASHINGTON, DC","2506 CLIFFBOURNE PL NW",NA,38.922727,-77.044913,1,rooftop,"2506 Cliffbourne Pl NW",,"Washington, DC 20009",2506,"Cliffbourne Pl NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
2009,"2009/06/11 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.9 KW SOLAR ELECTRIC SYSTEM.","3907 MCKINLEY ST NW, WASHINGTON, DC 20015","3907 MCKINLEY ST NW",20015,38.965162,-77.077856,1,rooftop,"3907 McKinley St NW",,"Washington, DC 20015",3907,"McKinley St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
2009,"2009/07/17 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTOVOLTAIC SYSTEM TO CONSIST OF:
27- SUNTECH 175 WATY MODULES
1- SUNNYBOY 5000US INVERTER
1- SMA MONITORING SYSTEM","3522 QUESADA ST NW, WASHINGTON, DC 20015","3522 QUESADA ST NW",20015,38.968437,-77.071728,1,rooftop,"3522 Quesada St NW",,"Washington, DC 20015",3522,"Quesada St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
2009,"2009/08/03 04:00:00+00","ALTERATION AND REPAIR","INSTALL (12) SOLAR PANELS ON ROOF - NOT VISIBLE FROM STREET.","2806 27TH ST NW, WASHINGTON, DC 20008","2806 27TH ST NW",20008,38.926816,-77.05559,1,rooftop,"2806 27th St NW",,"Washington, DC 20008",2806,"27th St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
2009,"2009/08/04 04:00:00+00","ALTERATION AND REPAIR","SOLAR ELECTIC INSTALLATION 
GROUND-MOUNTER SYSTEM INSTALLED IN YARD AND CONNECTED TO HOUSE","2830 UPTON ST NW, WASHINGTON, DC 20008","2830 UPTON ST NW",20008,38.941889,-77.057941,1,rooftop,"2830 Upton St NW",,"Washington, DC 20008",2830,"Upton St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
2009,"2009/07/29 04:00:00+00","ALTERATION AND REPAIR","SOLAR ELECTRIC INSTALLATION ON ROOF AND CONNECTED TO HOUSE","112 RITTENHOUSE ST NW, WASHINGTON, DC 20011","112 RITTENHOUSE ST NW",20011,38.964765,-77.013157,1,rooftop,"112 Rittenhouse St NW",,"Washington, DC 20011",112,"Rittenhouse St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
2009,"2009/07/29 04:00:00+00","ALTERATION AND REPAIR","INSTALL 3.15 KW SOLAR SYSTEM ON ROOF.","3501 ORDWAY ST NW, WASHINGTON, DC 20016","3501 ORDWAY ST NW",20016,38.936505,-77.068964,1,rooftop,"3501 Ordway St NW",,"Washington, DC 20016",3501,"Ordway St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/07/01 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.7KV ROOFTOP SOLAR SYSTEM CONSISTING OF: 12 SPR 225 SOLAR MODULES, 1 SMA 3000 INVERTER AND INVERTER MONITOR.","3804 ALBEMARLE ST NW, WASHINGTON, DC 20016","3804 ALBEMARLE ST NW",20016,38.947683,-77.07521,1,rooftop,"3804 Albemarle St NW",,"Washington, DC 20016",3804,"Albemarle St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/07/13 04:00:00+00","ALTERATION AND REPAIR","INSTALL 5.4 KW ROOF TOP SOLAS SYSTEM CONSITING OF: 24 SPR SOLAR MODULES, 1 SPR 5000 INVERTER & INVERTER MONITOR.","1312 Q ST NW, WASHINGTON, DC 20009","1312 Q ST NW",20009,38.910928,-77.030315,1,rooftop,"1312 Q St NW",,"Washington, DC 20009",1312,"Q St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
2009,"2009/04/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL 8 SOLAR PANLES ON FLAT ROOF.","5221 KANSAS AVE NW, WASHINGTON, DC 20011","5221 KANSAS AVE NW",20011,38.953851,-77.016726,1,rooftop,"5221 Kansas Ave NW",,"Washington, DC 20011",5221,"Kansas Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
2009,"2009/02/03 05:00:00+00","ALTERATION AND REPAIR","MOUNT 6 (SIX) SANYO PHOTOVOLTAIC PANELS ON THE ROOF.","5236 SHERIER PL NW, WASHINGTON, DC","5236 SHERIER PL NW",NA,38.926785,-77.105205,1,rooftop,"5236 Sherier Pl NW",,"Washington, DC 20016",5236,"Sherier Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/09/16 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","1704 KENYON ST NW, WASHINGTON, DC 20010","1704 KENYON ST NW",20010,38.92951,-77.039219,1,rooftop,"1704 Kenyon St NW",,"Washington, DC 20010",1704,"Kenyon St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/08/25 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","1639 HOBART ST NW, WASHINGTON, DC 20009","1639 HOBART ST NW",20009,38.928099,-77.038704,1,rooftop,"1639 Hobart St NW",,"Washington, DC 20009",1639,"Hobart St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
2009,"2009/08/25 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","36 FLORIDA AVE NW, WASHINGTON, DC 20001","36 FLORIDA AVE NW",20001,38.911484,-77.011103,1,rooftop,"36 Florida Ave NW",,"Washington, DC 20001",36,"Florida Ave NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
2009,"2009/09/22 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1831 KILBOURNE PL NW, WASHINGTON, DC 20010","1831 KILBOURNE PL NW",20010,38.930811,-77.042665,1,rooftop,"1831 Kilbourne Pl NW",,"Washington, DC 20010",1831,"Kilbourne Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/09/22 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1835 KILBOURNE PL NW, WASHINGTON, DC 20010","1835 KILBOURNE PL NW",20010,38.930806,-77.042804,1,rooftop,"1835 Kilbourne Pl NW",,"Washington, DC 20010",1835,"Kilbourne Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF.","1631 NEWTON ST NW, WASHINGTON, DC 20010","1631 NEWTON ST NW",20010,38.933952,-77.037576,1,rooftop,"1631 Newton St NW",,"Washington, DC 20010",1631,"Newton St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/08/13 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","1348 NEWTON ST NE, WASHINGTON, DC 20017","1348 NEWTON ST NE",20017,38.933949,-76.987231,1,rooftop,"1348 Newton St NE",,"Washington, DC 20017",1348,"Newton St NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
