interval_start,fueltech,fueltech_label,power_mw,year,hour,month,day
2024-08-08 04:00:00,battery,Battery,-13.335382,2024,4,8,8
2024-08-08 05:00:00,battery,Battery,0.220725,2024,5,8,8
2024-08-08 06:00:00,battery,Battery,9.936833,2024,6,8,8
2024-08-08 07:00:00,battery,Battery,10.297733,2024,7,8,8
2024-08-08 08:00:00,battery,Battery,0.481517,2024,8,8,8
2024-08-08 09:00:00,battery,Battery,-0.097975,2024,9,8,8
2024-08-08 10:00:00,battery,Battery,-0.119833,2024,10,8,8
2024-08-08 11:00:00,battery,Battery,-19.380167,2024,11,8,8
2024-08-08 12:00:00,battery,Battery,-34.938908,2024,12,8,8
2024-08-08 13:00:00,battery,Battery,-42.508375,2024,13,8,8
2024-08-08 14:00:00,battery,Battery,-26.955533,2024,14,8,8
2024-08-08 15:00:00,battery,Battery,-2.036192,2024,15,8,8
2024-08-08 16:00:00,battery,Battery,-0.371375,2024,16,8,8
2024-08-08 17:00:00,battery,Battery,16.860167,2024,17,8,8
2024-08-08 18:00:00,battery,Battery,53.807625,2024,18,8,8
2024-08-08 19:00:00,battery,Battery,38.311192,2024,19,8,8
2024-08-08 20:00:00,battery,Battery,5.789908,2024,20,8,8
2024-08-08 21:00:00,battery,Battery,4.038442,2024,21,8,8
2024-08-08 22:00:00,battery,Battery,0.521458,2024,22,8,8
2024-08-08 23:00:00,battery,Battery,-0.696508,2024,23,8,8
2024-08-09 00:00:00,battery,Battery,-3.79495,2024,0,8,9
2024-08-09 01:00:00,battery,Battery,-12.170658,2024,1,8,9
2024-08-09 02:00:00,battery,Battery,-11.066267,2024,2,8,9
2024-08-09 03:00:00,battery,Battery,-0.10315,2024,3,8,9
2024-08-09 04:00:00,battery,Battery,-0.125817,2024,4,8,9
2024-08-09 05:00:00,battery,Battery,-0.284533,2024,5,8,9
2024-08-09 06:00:00,battery,Battery,11.964208,2024,6,8,9
2024-08-09 07:00:00,battery,Battery,4.984025,2024,7,8,9
2024-08-09 08:00:00,battery,Battery,-0.747533,2024,8,8,9
2024-08-09 09:00:00,battery,Battery,-17.49125,2024,9,8,9
2024-08-09 10:00:00,battery,Battery,-13.801408,2024,10,8,9
2024-08-09 11:00:00,battery,Battery,-34.209242,2024,11,8,9
2024-08-09 12:00:00,battery,Battery,-18.317758,2024,12,8,9
2024-08-09 13:00:00,battery,Battery,-35.614183,2024,13,8,9
2024-08-09 14:00:00,battery,Battery,-14.595175,2024,14,8,9
2024-08-09 15:00:00,battery,Battery,-3.052658,2024,15,8,9
2024-08-09 16:00:00,battery,Battery,-0.423733,2024,16,8,9
2024-08-09 17:00:00,battery,Battery,0.429617,2024,17,8,9
2024-08-09 18:00:00,battery,Battery,45.170242,2024,18,8,9
2024-08-09 19:00:00,battery,Battery,49.207883,2024,19,8,9
2024-08-09 20:00:00,battery,Battery,8.296808,2024,20,8,9
2024-08-09 21:00:00,battery,Battery,6.691433,2024,21,8,9
2024-08-09 22:00:00,battery,Battery,6.007867,2024,22,8,9
2024-08-09 23:00:00,battery,Battery,1.934125,2024,23,8,9
2024-08-10 00:00:00,battery,Battery,-8.523742,2024,0,8,10
2024-08-10 01:00:00,battery,Battery,4.46235,2024,1,8,10
2024-08-10 02:00:00,battery,Battery,-0.241792,2024,2,8,10
2024-08-10 03:00:00,battery,Battery,3.922825,2024,3,8,10
2024-08-10 04:00:00,battery,Battery,2.648017,2024,4,8,10
2024-08-10 05:00:00,battery,Battery,0.236025,2024,5,8,10
2024-08-10 06:00:00,battery,Battery,0.70695,2024,6,8,10
2024-08-10 07:00:00,battery,Battery,0.077208,2024,7,8,10
2024-08-10 08:00:00,battery,Battery,-1.391958,2024,8,8,10
2024-08-10 09:00:00,battery,Battery,-15.200058,2024,9,8,10
2024-08-10 10:00:00,battery,Battery,-44.650342,2024,10,8,10
2024-08-10 11:00:00,battery,Battery,-23.707567,2024,11,8,10
2024-08-10 12:00:00,battery,Battery,-23.383683,2024,12,8,10
2024-08-10 13:00:00,battery,Battery,-39.196767,2024,13,8,10
2024-08-10 14:00:00,battery,Battery,-5.356275,2024,14,8,10
2024-08-10 15:00:00,battery,Battery,-0.047708,2024,15,8,10
2024-08-10 16:00:00,battery,Battery,-0.2329,2024,16,8,10
2024-08-10 17:00:00,battery,Battery,20.538683,2024,17,8,10
2024-08-10 18:00:00,battery,Battery,59.313225,2024,18,8,10
2024-08-10 19:00:00,battery,Battery,33.352508,2024,19,8,10
2024-08-10 20:00:00,battery,Battery,4.6296,2024,20,8,10
2024-08-10 21:00:00,battery,Battery,8.100117,2024,21,8,10
2024-08-10 22:00:00,battery,Battery,3.803,2024,22,8,10
2024-08-10 23:00:00,battery,Battery,-20.130092,2024,23,8,10
2024-08-11 00:00:00,battery,Battery,-0.420183,2024,0,8,11
2024-08-11 01:00:00,battery,Battery,5.340408,2024,1,8,11
2024-08-11 02:00:00,battery,Battery,0.313642,2024,2,8,11
2024-08-11 03:00:00,battery,Battery,2.166183,2024,3,8,11
2024-08-11 04:00:00,battery,Battery,0.148075,2024,4,8,11
2024-08-11 05:00:00,battery,Battery,1.876267,2024,5,8,11
2024-08-11 06:00:00,battery,Battery,1.174617,2024,6,8,11
2024-08-11 07:00:00,battery,Battery,-1.611583,2024,7,8,11
2024-08-11 08:00:00,battery,Battery,-1.784092,2024,8,8,11
2024-08-11 09:00:00,battery,Battery,0.272933,2024,9,8,11
2024-08-11 10:00:00,battery,Battery,-22.555733,2024,10,8,11
2024-08-11 11:00:00,battery,Battery,-26.202633,2024,11,8,11
2024-08-11 12:00:00,battery,Battery,-44.989333,2024,12,8,11
2024-08-11 13:00:00,battery,Battery,-23.128917,2024,13,8,11
2024-08-11 14:00:00,battery,Battery,-29.5083,2024,14,8,11
2024-08-11 15:00:00,battery,Battery,-0.0596,2024,15,8,11
2024-08-11 16:00:00,battery,Battery,-0.557592,2024,16,8,11
2024-08-11 17:00:00,battery,Battery,-0.472083,2024,17,8,11
2024-08-11 18:00:00,battery,Battery,41.630742,2024,18,8,11
2024-08-11 19:00:00,battery,Battery,50.158067,2024,19,8,11
2024-08-11 20:00:00,battery,Battery,32.403725,2024,20,8,11
2024-08-11 21:00:00,battery,Battery,-1.0145,2024,21,8,11
2024-08-11 22:00:00,battery,Battery,-10.029067,2024,22,8,11
2024-08-11 23:00:00,battery,Battery,0.051167,2024,23,8,11
2024-08-12 00:00:00,battery,Battery,-0.291842,2024,0,8,12
2024-08-12 01:00:00,battery,Battery,0.013525,2024,1,8,12
2024-08-12 02:00:00,battery,Battery,-20.392408,2024,2,8,12
2024-08-12 03:00:00,battery,Battery,-29.136192,2024,3,8,12
2024-08-12 04:00:00,battery,Battery,-34.165633,2024,4,8,12
2024-08-12 05:00:00,battery,Battery,-37.711892,2024,5,8,12
2024-08-12 06:00:00,battery,Battery,-8.963258,2024,6,8,12
2024-08-12 07:00:00,battery,Battery,27.468842,2024,7,8,12
2024-08-12 08:00:00,battery,Battery,-16.894292,2024,8,8,12
2024-08-12 09:00:00,battery,Battery,-4.8371,2024,9,8,12
2024-08-12 10:00:00,battery,Battery,-0.611908,2024,10,8,12
2024-08-12 11:00:00,battery,Battery,-0.380558,2024,11,8,12
2024-08-12 12:00:00,battery,Battery,-2.124783,2024,12,8,12
2024-08-12 13:00:00,battery,Battery,-7.934408,2024,13,8,12
2024-08-12 14:00:00,battery,Battery,-1.832242,2024,14,8,12
2024-08-12 15:00:00,battery,Battery,-0.211958,2024,15,8,12
2024-08-12 16:00:00,battery,Battery,0.541658,2024,16,8,12
2024-08-12 17:00:00,battery,Battery,33.256658,2024,17,8,12
2024-08-12 18:00:00,battery,Battery,46.436225,2024,18,8,12
2024-08-12 19:00:00,battery,Battery,30.088092,2024,19,8,12
2024-08-12 20:00:00,battery,Battery,0.648483,2024,20,8,12
2024-08-12 21:00:00,battery,Battery,-0.4965,2024,21,8,12
2024-08-12 22:00:00,battery,Battery,-0.193592,2024,22,8,12
2024-08-12 23:00:00,battery,Battery,-8.648408,2024,23,8,12
2024-08-13 00:00:00,battery,Battery,-44.947208,2024,0,8,13
2024-08-13 01:00:00,battery,Battery,-26.509433,2024,1,8,13
2024-08-13 02:00:00,battery,Battery,-0.548683,2024,2,8,13
2024-08-13 03:00:00,battery,Battery,-0.148625,2024,3,8,13
2024-08-13 04:00:00,battery,Battery,-16.710317,2024,4,8,13
2024-08-13 05:00:00,battery,Battery,-41.663033,2024,5,8,13
2024-08-13 06:00:00,battery,Battery,-0.785125,2024,6,8,13
2024-08-13 07:00:00,battery,Battery,19.060658,2024,7,8,13
2024-08-13 08:00:00,battery,Battery,-6.444,2024,8,8,13
2024-08-13 09:00:00,battery,Battery,-0.460917,2024,9,8,13
2024-08-13 10:00:00,battery,Battery,-12.007867,2024,10,8,13
2024-08-13 11:00:00,battery,Battery,-0.259933,2024,11,8,13
2024-08-13 12:00:00,battery,Battery,-0.303367,2024,12,8,13
2024-08-13 13:00:00,battery,Battery,-0.376292,2024,13,8,13
2024-08-13 14:00:00,battery,Battery,-5.604525,2024,14,8,13
2024-08-13 15:00:00,battery,Battery,-2.828567,2024,15,8,13
2024-08-13 16:00:00,battery,Battery,-0.754392,2024,16,8,13
2024-08-13 17:00:00,battery,Battery,19.105583,2024,17,8,13
2024-08-13 18:00:00,battery,Battery,57.471842,2024,18,8,13
2024-08-13 19:00:00,battery,Battery,35.169175,2024,19,8,13
2024-08-13 20:00:00,battery,Battery,1.521133,2024,20,8,13
2024-08-13 21:00:00,battery,Battery,-6.420642,2024,21,8,13
2024-08-13 22:00:00,battery,Battery,2.537058,2024,22,8,13
2024-08-13 23:00:00,battery,Battery,-14.961742,2024,23,8,13
2024-08-14 00:00:00,battery,Battery,-33.047675,2024,0,8,14
2024-08-14 01:00:00,battery,Battery,0.153992,2024,1,8,14
2024-08-14 02:00:00,battery,Battery,-0.121817,2024,2,8,14
2024-08-14 03:00:00,battery,Battery,-25.8702,2024,3,8,14
2024-08-14 04:00:00,battery,Battery,-7.709,2024,4,8,14
2024-08-14 05:00:00,battery,Battery,-0.70985,2024,5,8,14
2024-08-14 06:00:00,battery,Battery,-1.163633,2024,6,8,14
2024-08-14 07:00:00,battery,Battery,10.954208,2024,7,8,14
2024-08-14 08:00:00,battery,Battery,0.557258,2024,8,8,14
2024-08-14 09:00:00,battery,Battery,6.542717,2024,9,8,14
2024-08-14 10:00:00,battery,Battery,-2.885583,2024,10,8,14
2024-08-14 11:00:00,battery,Battery,-11.820842,2024,11,8,14
2024-08-14 12:00:00,battery,Battery,-37.5949,2024,12,8,14
